listing_id,date,num_reviews,reviewers
12498542,01/06/2025,1,673247129
37726876,01/12/2024,1,60072950
19421984,01/10/2024,2,"8,836,472,108,486,210"
41147149,01/10/2024,1,563355113
29209289,01/12/2024,1,368055092
40550579,01/11/2024,1,373625100
19421984,01/09/2024,2,"37,429,908,126,020,700"
19421984,01/11/2024,1,63514956
20969232,01/05/2025,1,65940010
20617766,01/05/2025,1,151199801
10938932,01/05/2025,4,"538,519,594,150,600,000,000,000,000,000,000,000"
10938932,01/01/2025,3,"2,246,814,170,789,960,000,000,000"
20617766,01/10/2024,1,53107771
5010006,01/01/2025,1,487946548
3669802,01/10/2024,5,"375,369,812,640,932,000,000,000,000,000,000,000,000,000"
20969232,01/04/2025,1,493316874
20617766,01/11/2024,1,47929860
3669802,01/04/2025,2,"314,729,896,667,226,000"
15262263,01/03/2025,2,"671,023,709,673,896,000"
15262263,01/12/2024,5,"25,669,741,966,620,900,000,000,000,000,000,000,000,000,000"
5010006,01/12/2024,1,223391885
5010006,01/05/2025,1,223391885
40476203,01/10/2024,1,182045244
20969232,01/01/2025,1,254191017
15262263,01/04/2025,1,162459395
3669802,01/06/2025,2,"231,932,030,461,667,000"
5010006,01/11/2024,2,"454,398,796,535,491,000"
10938932,01/02/2025,1,99067267
10938932,01/08/2025,2,"487,823,935,220,403,000"
15262263,01/11/2024,2,"445,377,791,422,374,000"
3669802,01/12/2024,1,5868108
10938932,01/04/2025,3,"351,469,386,688,725,000,000,000,000"
20617766,01/03/2025,1,559856116
40476203,01/05/2025,2,"2,844,359,478,873,580"
10938932,01/09/2024,1,6629852
3669802,01/03/2025,6,"7,288,484,975,177,260,000,000,000,000,000,000,000,000,000,000,000,000"
3669802,01/07/2025,1,383019632
10938932,01/06/2025,2,"40,732,767,697,998,700"
10938932,01/12/2024,2,"563,710,294,469,840,000"
20969232,01/11/2024,1,65940010
10938932,01/07/2025,2,"448,260,262,673,514,000"
20969232,01/06/2025,2,"6,594,001,065,940,010"
3669802,01/09/2024,1,120189953
40476203,01/04/2025,3,"403,289,904,915,664,000,000,000"
15262263,01/09/2024,2,"378,942,351,335,757,000"
3669802,01/05/2025,3,"5,868,108,308,204,670,000,000,000"
10938932,01/11/2024,5,"438,269,672,658,761,000,000,000,000,000,000,000,000,000,000"
20617766,01/02/2025,1,546887793
40476203,01/02/2025,2,"14,129,839,233,998,400"
15262263,01/10/2024,2,"63,498,977,427,179,400"
